"16000 Byte are send"
"0.050000 load average last 15 minutes "
"0.010000 load average last 5 minutes"
"0.000000 load average last minute"
"CPU time used = 0.000000"
"send","receive"
"0.055743","0.055704"
"0.000044","0.000040"
"0.000027","0.000034"
"0.000024","0.000031"
"0.000023","0.000032"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000026","0.000033"
"0.000023","0.000031"
"0.000024","0.000031"
"0.000024","0.000031"
"0.000026","0.000033"
"0.000023","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000026","0.000032"
"0.000024","0.000031"
"0.000025","0.000031"
"0.000023","0.000032"
"0.000023","0.000030"
"0.000025","0.000032"
"0.000025","0.000032"
"0.000025","0.000032"
"0.000024","0.000032"
"0.000024","0.000031"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000025","0.000032"
"0.000024","0.000033"
"0.000024","0.000031"
"0.000023","0.000031"
"0.000024","0.000031"
"0.000025","0.000034"
"0.000024","0.000031"
"0.000025","0.000039"
"0.000029","0.000066"
"0.000061","0.000023"
"0.000025","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000033"
"0.000024","0.000032"
"0.000023","0.000030"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000031"
"0.000023","0.000030"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000025","0.000033"
"0.000024","0.000032"
"0.000023","0.000031"
"0.000024","0.000031"
"0.000025","0.000031"
"0.000024","0.000034"
"0.000024","0.000031"
"0.000023","0.000032"
"0.000024","0.000031"
"0.000024","0.000033"
"0.000025","0.000032"
"0.000023","0.000032"
"0.000025","0.000031"
"0.000023","0.000032"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000026","0.000033"
"0.000023","0.000031"
"0.000024","0.000030"
"0.000024","0.000031"
"0.000024","0.000031"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000025","0.000032"
"0.000024","0.000033"
"0.000024","0.000030"
"0.000025","0.000032"
"0.000025","0.000033"
"0.000023","0.000030"
"0.000024","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000025","0.000031"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000024","0.000032"
"0.000023","0.000032"
