Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x0002 036 : (Channel Adapter portguid guid: r02n12)
0x0003 035 : (Channel Adapter portguid guid: r02n13)
0x0004 036 : (Channel Adapter portguid guid: r02n08)
0x0005 034 : (Channel Adapter portguid guid: r02n15)
0x0006 034 : (Channel Adapter portguid guid: r02n11)
0x0007 035 : (Channel Adapter portguid guid: r02n09)
0x0008 035 : (Channel Adapter portguid guid: r02n04)
0x0009 034 : (Channel Adapter portguid guid: r02n02)
0x000a 033 : (Channel Adapter portguid guid: r02n06)
0x000b 034 : (Channel Adapter portguid guid: r02n07)
0x000c 033 : (Channel Adapter portguid guid: r02n14)
0x000d 036 : (Channel Adapter portguid guid: r02n16)
0x000e 033 : (Channel Adapter portguid guid: r02n10)
0x000f 036 : (Channel Adapter portguid guid: r02n03)
0x0010 033 : (Channel Adapter portguid guid: r02n01)
0x0011 035 : (Channel Adapter portguid guid: r02n18)
0x0013 034 : (Channel Adapter portguid guid: r06n05)
0x0014 036 : (Channel Adapter portguid guid: r06n16)
0x0015 034 : (Channel Adapter portguid guid: r05n11)
0x0016 036 : (Channel Adapter portguid guid: r06n06)
0x0017 034 : (Channel Adapter portguid guid: r05n03)
0x0018 033 : (Channel Adapter portguid guid: r07n12)
0x0019 033 : (Channel Adapter portguid guid: r06n18)
0x001a 036 : (Channel Adapter portguid guid: r07n10)
0x001c 033 : (Channel Adapter portguid guid: r05n10)
0x001d 036 : (Channel Adapter portguid guid: r07n06)
0x001e 034 : (Channel Adapter portguid guid: r05n15)
0x001f 036 : (Channel Adapter portguid guid: r05n04)
0x0020 034 : (Channel Adapter portguid guid: r07n01)
0x0021 035 : (Channel Adapter portguid guid: r06n07)
0x0022 036 : (Channel Adapter portguid guid: r08n05)
0x0023 033 : (Channel Adapter portguid guid: r07n08)
0x0024 033 : (Channel Adapter portguid guid: r08n07)
0x0025 034 : (Channel Adapter portguid guid: r04n09)
0x0026 034 : (Channel Adapter portguid guid: r07n05)
0x0027 034 : (Channel Adapter portguid guid: r06n01)
0x0028 036 : (Channel Adapter portguid guid: r08n09)
0x0029 035 : (Channel Adapter portguid guid: r07n03)
0x002a 036 : (Channel Adapter portguid guid: r05n12)
0x002b 035 : (Channel Adapter portguid guid: r08n18)
0x002c 033 : (Channel Adapter portguid guid: r05n14)
0x002d 033 : (Channel Adapter portguid guid: r06n14)
0x002e 035 : (Channel Adapter portguid guid: r05n01)
0x002f 033 : (Channel Adapter portguid guid: r05n18)
0x0030 034 : (Channel Adapter portguid guid: r07n13)
0x0031 035 : (Channel Adapter portguid guid: r05n13)
0x0032 033 : (Channel Adapter portguid guid: r06n10)
0x0033 034 : (Channel Adapter portguid guid: r08n16)
0x0034 035 : (Channel Adapter portguid guid: r07n07)
0x0035 033 : (Channel Adapter portguid guid: r07n04)
0x0036 033 : (Channel Adapter portguid guid: r07n16)
0x0038 035 : (Channel Adapter portguid guid: r08n10)
0x0039 036 : (Channel Adapter portguid guid: r07n02)
0x003a 034 : (Channel Adapter portguid guid: r05n07)
0x003b 035 : (Channel Adapter portguid guid: r06n13)
0x003c 033 : (Channel Adapter portguid guid: r05n02)
0x003d 034 : (Channel Adapter portguid guid: r08n08)
0x003e 036 : (Channel Adapter portguid guid: r08n17)
0x003f 034 : (Channel Adapter portguid guid: r08n04)
0x0040 033 : (Channel Adapter portguid guid: r06n04)
0x0041 036 : (Channel Adapter portguid guid: r05n16)
0x0042 035 : (Channel Adapter portguid guid: r07n11)
0x0043 033 : (Channel Adapter portguid guid: r08n15)
0x0044 036 : (Channel Adapter portguid guid: r07n14)
0x0045 033 : (Channel Adapter portguid guid: r08n03)
0x0046 035 : (Channel Adapter portguid guid: r05n05)
0x0047 033 : (Channel Adapter portguid guid: r05n06)
0x0048 034 : (Channel Adapter portguid guid: r06n15)
0x0049 035 : (Channel Adapter portguid guid: r07n15)
0x004a 034 : (Channel Adapter portguid guid: r07n17)
0x004b 035 : (Channel Adapter portguid guid: r06n03)
0x004c 036 : (Channel Adapter portguid guid: r05n08)
0x004d 036 : (Channel Adapter portguid guid: r06n12)
0x004e 035 : (Channel Adapter portguid guid: r06n17)
0x004f 036 : (Channel Adapter portguid guid: r08n13)
0x0050 033 : (Channel Adapter portguid guid: r08n11)
0x0051 036 : (Channel Adapter portguid guid: r09n03)
0x0052 036 : (Channel Adapter portguid guid: r09n07)
0x0053 035 : (Channel Adapter portguid guid: r08n14)
0x0054 036 : (Channel Adapter portguid guid: r09n11)
0x0055 035 : (Channel Adapter portguid guid: r08n06)
0x0056 034 : (Channel Adapter portguid guid: r08n12)
0x0057 035 : (Channel Adapter portguid guid: r08n02)
0x0058 034 : (Channel Adapter portguid guid: r06n11)
0x0059 035 : (Channel Adapter portguid guid: r05n17)
0x005a 036 : (Channel Adapter portguid guid: r08n01)
0x005b 034 : (Channel Adapter portguid guid: r04n05)
0x005c 034 : (Channel Adapter portguid guid: r07n09)
0x005d 036 : (Channel Adapter portguid guid: r06n02)
0x005e 012 : (Channel Adapter portguid guid: r01n12)
0x005f 036 : (Channel Adapter portguid guid: r03n07)
0x0060 033 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 004 : (Channel Adapter portguid guid: r01n04)
0x0062 007 : (Channel Adapter portguid guid: r01n07)
0x0063 034 : (Channel Adapter portguid guid: r03n14)
0x0064 033 : (Channel Adapter portguid guid: r03n13)
0x0065 018 : (Channel Adapter portguid guid: r01n18)
0x0066 034 : (Channel Adapter portguid guid: r04n13)
0x0067 035 : (Channel Adapter portguid guid: r09n12)
0x0068 009 : (Channel Adapter portguid guid: r01n09)
0x0069 033 : (Channel Adapter portguid guid: r04n08)
0x006a 034 : (Channel Adapter portguid guid: r03n10)
0x006b 002 : (Channel Adapter portguid guid: r01n02)
0x006c 035 : (Channel Adapter portguid guid: r05n09)
0x006d 034 : (Channel Adapter portguid guid: r09n16)
0x006e 035 : (Channel Adapter portguid guid: r09n08)
0x006f 016 : (Channel Adapter portguid guid: r01n16)
0x0070 035 : (Channel Adapter portguid guid: r03n04)
0x0071 036 : (Channel Adapter portguid guid: r04n10)
0x0072 033 : (Channel Adapter portguid guid: r04n12)
0x0073 033 : (Channel Adapter portguid guid: r04n04)
0x0074 011 : (Channel Adapter portguid guid: r01n11)
0x0075 033 : (Channel Adapter portguid guid: r03n01)
0x0076 035 : (Channel Adapter portguid guid: r09n04)
0x0077 033 : (Channel Adapter portguid guid: r09n14)
0x0078 003 : (Channel Adapter portguid guid: r01n03)
0x0079 034 : (Channel Adapter portguid guid: r09n06)
0x007a 033 : (Channel Adapter portguid guid: r03n17)
0x007b 005 : (Channel Adapter portguid guid: r01n05)
0x007c 010 : (Channel Adapter portguid guid: r01n10)
0x007d 033 : (Channel Adapter portguid guid: r09n09)
0x007e 035 : (Channel Adapter portguid guid: r03n12)
0x007f 017 : (Channel Adapter portguid guid: r01n17)
0x0080 034 : (Channel Adapter portguid guid: r09n10)
0x0081 033 : (Channel Adapter portguid guid: r09n05)
0x0082 036 : (Channel Adapter portguid guid: r04n02)
0x0083 036 : (Channel Adapter portguid guid: r03n15)
0x0084 034 : (Channel Adapter portguid guid: r04n01)
0x0085 036 : (Channel Adapter portguid guid: r04n14)
0x0086 036 : (Channel Adapter portguid guid: r09n17)
0x0087 035 : (Channel Adapter portguid guid: r04n03)
0x0088 035 : (Channel Adapter portguid guid: r04n11)
0x0089 014 : (Channel Adapter portguid guid: r01n14)
0x008a 035 : (Channel Adapter portguid guid: r04n15)
0x008b 036 : (Channel Adapter portguid guid: r04n18)
0x008c 036 : (Channel Adapter portguid guid: r03n11)
0x008d 034 : (Channel Adapter portguid guid: r09n02)
0x008e 033 : (Channel Adapter portguid guid: r09n01)
0x008f 035 : (Channel Adapter portguid guid: r03n16)
0x0090 035 : (Channel Adapter portguid guid: r03n08)
0x0091 036 : (Channel Adapter portguid guid: r04n06)
0x0092 034 : (Channel Adapter portguid guid: r03n06)
0x0093 034 : (Channel Adapter portguid guid: r03n02)
0x0094 013 : (Channel Adapter portguid guid: r01n13)
0x0095 033 : (Channel Adapter portguid guid: r04n16)
0x0098 008 : (Channel Adapter portguid guid: r01n08)
0x0099 033 : (Channel Adapter portguid guid: r03n09)
0x009a 015 : (Channel Adapter portguid guid: r01n15)
0x009b 035 : (Channel Adapter portguid guid: r04n07)
0x009c 006 : (Channel Adapter portguid guid: r01n06)
0x009d 036 : (Channel Adapter portguid guid: r03n03)
